,country,page,rev_id
272,Rhodesian,Gervas Clay,574571582
384,Faroese,"List of members of the Løgting, 1974–78",643932216
385,Faroese,"List of members of the Løgting, 1978–80",643932220
386,Faroese,"List of members of the Løgting, 1980–84",643932225
387,Faroese,"List of members of the Løgting, 1984–88",643932226
388,Faroese,"List of members of the Løgting, 1990–94",643932239
389,Faroese,"List of members of the Løgting, 1994–98",643932242
398,Cape Colony,James Bisset (mayor),647367482
415,Cape Colony,Augustus Joseph Tancred,651250302
420,Cape Colony,Johan Conrad Silberbauer,653467222
457,Cape Colony,James Cotterell Hoole,666596918
499,Rhodesian,Harry Davies (politician),669387487
516,Cape Colony,Patrick Goold,670210734
563,Montserratian,Speaker of the Legislative Assembly of Montserrat,674919905
578,Cape Colony,Andries Botha,676828191
614,Cape Colony,Charles William Hutton,680205631
616,Pitcairn Islands,Chairman of the Island Council (Pitcairn),680532939
632,Rhodesian,William Fairbridge,682576258
742,Cape Colony,John Blades Currey,693624260
755,Abkhazia,Zaur Avidzba,694519009
857,Faroese,"List of members of the Løgting, 1998–2002",698865505
947,Faroese,Tórbjørn Poulsen,700400143
972,Faroese,Demmus Hentze,701771698
1003,Niuean,Young Vivian,703037968
1022,Ivorian,Noel Ahipeaud,703133769
1053,Carniolan,Simon Jenko,703436823
1145,South African Republic,Thomas François Burgers,704636517
1178,Abkhazia,Zaur Ardzinba,704938340
1520,Incan,Vicente Flores,706771757
1610,Chechen,Khozh-Ahmed Noukhayev,707217873
1869,Ivorian,Tuo Fozié,708711840
1870,Jersey,Terry Le Main,708727189
1871,Jersey,Paul Routier,708727221
1881,Jersey,Mike Vibert,708766654
2130,Jersey,Sean Power (Jersey),710334019
2161,Jersey,Leonard Norman,710503170
2178,Guernsey,Mike Torode,710546915
2187,Ivorian,Léon Emmanuel Monnet,710585105
2356,Rhodesian,Washington Malianga,711506001
2451,Rhodesian,Ronald Snapper,712233907
2555,Montserratian,Peter Waterworth,712713704
2688,Ivorian,Pierre Djédji Amondji,713176326
2813,Carniolan,Ivan Hribar,713766077
2870,Faroese,Andrias Christian Evensen,714088539
2889,Ivorian,Auguste Denise,714183793
2893,Ivorian,Philippe Yacé,714200423
3066,Ivorian,Jean-Baptiste Mockey,714822110
3182,Cape Colony,Joseph Orpen,715016315
3245,Faroese,Hákun Djurhuus,715330944
3305,Faroese,Jógvan Justinusson,715490721
3430,Pitcairn Islands,Edgar Allen Christian,715823848
3431,Pitcairn Islands,Frederick Martin Christian,715823876
3432,Pitcairn Islands,John Lorenzo Christian,715823908
3508,Faroese,Andrass Samuelsen,716137698
3554,Carniolan,Gregor Žerjav,716507073
3571,Carniolan,Karel Dežman,716574519
3612,South African Republic,Willem Cornelis Janse van Rensburg,716703178
3721,South Ossetian,Stanislav Kochiev,717215546
3725,South Ossetian,Valeriy Hubulov,717241760
3733,Pitcairn Islands,Benjamin Stanley Young,717259837
3740,Pitcairn Islands,Edward Quintal,717338734
3741,Pitcairn Islands,Arthur Quintal I,717340951
3742,Pitcairn Islands,Fletcher Christian II,717340996
3743,Pitcairn Islands,Moses Young,717341064
3754,Pitcairn Islands,Matthew McCoy (Magistrate),717345596
3755,Pitcairn Islands,Arthur Quintal II,717346443
3773,Carniolan,Josip Vilfan,717350390
3774,Pitcairn Islands,Charles Christian II,717350782
3864,Cook Island,Tou Travel Ariki,717545630
3886,Cook Island,Piho Rua,717593716
3915,Carniolan,Luka Svetec,717669055
3988,Pitcairn Islands,Norris Henry Young,717867039
3998,Cook Island,Robert Woonton,717897925
4009,Jersey,Ben Shenton,717911161
4133,Cape Colony,Klaas Afrikaner,718462130
4328,Guernsey,Laurie Morgan,719122168
4342,Cook Island,Ngereteina Puna,719186872
4363,Montserratian,Christopher J. Turner,719256142
4458,Pitcairn Islands,Arthur Galsworthy,719706841
4673,Jersey,Robert Le Masurier,720430005
4674,Tokelauan,John Allen (diplomat),720435378
4933,Abkhazia,Zurab Achba,721094337
5054,South Ossetian,Rostislav Khugayev,721687759
5116,Faroese,Álvur Kirke,721938213
5203,Guernsey,Peter Harwood,722295712
5212,Faroese,Rikard Long,722336332
5213,Faroese,Sigurð Joensen,722336979
5284,Faroese,Jógvan Poulsen (1854–1941),722590461
5326,Guernsey,Martin Storey (politician),722806951
5368,Jersey,Kevin C. Lewis,722988899
5528,Cape Colony,Christian Groepe,723563811
